Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
念,4,3,1,3,1,0
不好,4,3,1,3,1,0
怎么办,4,1,3,1,3,0
怕,4,3,3,1,1,2
情绪,4,2,3,1,2,1
不值得,4,2,4,0,2,2
皆,4,2,2,2,2,0
州宝,4,2,4,0,2,2
心里,4,2,4,0,2,2
真是,4,4,2,2,0,2
爷爷奶奶,4,0,4,0,4,0
阳光,4,2,3,1,2,1
穿,4,3,1,3,1,0
结果,4,2,2,2,2,0
第一次,4,1,3,0,2,1
好看,4,2,4,0,2,2
生日,4,1,4,0,3,1
温柔,4,4,1,3,0,1
送给,4,0,4,0,4,0
学会,4,4,0,4,0,0
享受,4,3,1,3,1,0
好像,4,2,4,0,2,2
心灵,4,2,3,1,2,1
连,4,2,2,1,1,1
所谓,3,3,0,3,0,0
帅气,3,1,3,0,2,1
梦想,3,2,1,2,1,0
言论,3,3,2,1,0,2
   ,3,2,1,2,1,0
十字路口,3,0,3,0,3,0
恶意,3,3,0,3,0,0
爸妈,3,2,1,2,1,0
包围,3,2,3,0,1,2
恶人,3,2,1,2,1,0
暖,3,2,2,1,1,1
千万别,3,0,3,0,3,0
大人,3,0,3,0,3,0
视频,3,1,3,0,2,1
晚上,3,3,1,2,0,1
好消息,3,0,3,0,3,0
要求,3,2,1,2,1,0
真正,3,1,2,1,2,0
抱,3,1,2,1,2,0
发布,3,2,2,0,0,2
房子,3,1,3,0,2,1
昨天,3,1,2,1,2,0
继续,3,2,3,0,1,2
春天,3,0,3,0,3,0
更,3,1,2,1,2,0
没想到,3,1,3,0,2,1
总是,3,1,2,1,2,0
讨厌,3,1,3,0,2,1
直到,3,2,1,2,1,0
期待,3,1,2,1,2,0
再也,3,1,2,1,2,0
冬奥会,3,2,3,0,1,2
应该是,3,0,3,0,3,0
糖,3,0,3,0,3,0
甜,3,0,3,0,3,0
责任,3,2,1,2,1,0
冷漠,3,1,3,0,2,1
疼,3,0,3,0,3,0
忧愁,3,3,0,3,0,0
读书,3,2,1,2,1,0
并不是,3,1,2,1,2,0
几天,3,0,3,0,3,0
看不到,3,0,3,0,3,0
来世,3,0,3,0,3,0
才能,3,3,2,1,0,2
最近,3,0,3,0,3,0
