Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
心疼,3,3,0,3,0,0
做什么,3,3,2,1,0,2
唯一,3,3,1,2,0,1
身上,3,3,0,3,0,0
需要,3,3,1,2,0,1
不了,3,3,1,2,0,1
你好,3,3,0,3,0,0
一些,3,3,0,3,0,0
请,3,3,1,2,0,1
不然,3,3,0,3,0,0
一件,3,3,0,3,0,0
都会,3,3,1,2,0,1
以,3,3,0,3,0,0
一切,3,3,0,3,0,0
一句话,3,3,0,3,0,0
一场,3,3,0,3,0,0
不过,3,3,0,3,0,0
伤害,3,3,0,3,0,0
这条,3,3,0,3,0,0
一定要,3,3,0,3,0,0
东西,3,3,0,3,0,0
会不会,3,3,0,3,0,0
任何,3,3,0,3,0,0
除了,3,3,0,3,0,0
一秒,3,3,0,3,0,0
一点点,3,3,1,2,0,1
为,3,3,1,2,0,1
为了,3,3,0,3,0,0
',3,3,0,3,0,0
还没,3,3,1,2,0,1
不好,3,2,1,2,1,0
从来,3,2,1,2,1,0
—,3,3,0,3,0,0
起来,3,3,0,3,0,0
哈哈,2,2,2,0,0,2
人间,2,1,2,0,1,1
悄无声息,2,2,0,2,0,0
来回,2,2,0,2,0,0
夏天,2,2,1,1,0,1
患者,2,2,1,1,0,1
或,2,2,0,2,0,0
向,2,2,0,2,0,0
否定,2,2,0,2,0,0
也许,2,2,2,0,0,2
过去,2,2,2,0,0,2
书,2,2,1,1,0,1
一定程度,2,2,0,2,0,0
坐,2,2,0,2,0,0
坏,2,2,2,0,0,2
轻松,2,2,0,2,0,0
极致,2,2,0,2,0,0
眼泪,2,2,0,2,0,0
或许,2,2,1,1,0,1
过度,2,2,0,2,0,0
累了,2,2,0,2,0,0
大概,2,2,0,2,0,0
之外,2,2,0,2,0,0
还会,2,2,0,2,0,0
面前,2,2,0,2,0,0
同性恋,2,2,0,2,0,0
运动,2,2,0,2,0,0
够了,2,2,0,2,0,0
够,2,2,0,2,0,0
夜里,2,2,1,1,0,1
恨不能,2,2,0,2,0,0
一整晚,2,2,0,2,0,0
继续,2,2,1,1,0,1
多少个,2,2,1,1,0,1
多少,2,2,0,2,0,0
什么时候,2,2,0,2,0,0
想哭,2,2,1,1,0,1
二,2,2,2,0,0,2
躺,2,2,0,2,0,0
交替,2,2,0,2,0,0
感受,2,2,0,2,0,0
树洞,2,2,1,1,0,1
交流,2,2,0,2,0,0
亮,2,2,0,2,0,0
突然间,2,1,1,1,1,0
幻想,2,2,0,2,0,0
亲人,2,2,0,2,0,0
难道,2,2,0,2,0,0
笑,2,2,0,2,0,0
笑眯眯,2,2,0,2,0,0
笑着,2,2,1,1,0,1
―,2,2,0,2,0,0
笑起来,2,2,2,0,0,2
懂事,2,2,0,2,0,0
懒,2,2,0,2,0,0
糟心事,2,2,0,2,0,0
歇斯底里,2,2,0,2,0,0
跳楼,2,2,0,2,0,0
呢  ,2,2,0,2,0,0
听说,2,2,2,0,0,2
一句,2,2,0,2,0,0
一副,2,2,0,2,0,0
图片评论,2,0,0,0,0,0
礼物,2,2,0,2,0,0
于是,2,2,0,2,0,0
想见你,2,2,2,0,0,2
路,2,2,0,2,0,0
某,2,2,0,2,0,0
正常,2,2,0,2,0,0
回家,2,2,0,2,0,0
一刀,2,2,0,2,0,0
每天晚上,2,2,0,2,0,0
正在,2,1,1,1,1,0
我爱你,2,2,0,2,0,0
不要让,2,2,0,2,0,0
怕死,2,2,2,0,0,2
真好,2,2,1,1,0,1
玻璃心,2,2,0,2,0,0
不属于,2,1,1,1,1,0
就要,2,2,0,2,0,0
不开心,2,2,1,1,0,1
就好,2,2,0,2,0,0
就可以,2,2,1,1,0,1
那个,2,2,0,2,0,0
就会,2,2,1,1,0,1
不敢哭,2,2,2,0,0,2
很久,2,2,0,2,0,0
那么多,2,2,0,2,0,0
很多人,2,2,0,2,0,0
那天,2,2,0,2,0,0
寻求,2,2,0,2,0,0
没法,2,2,1,1,0,1
玩,2,2,0,2,0,0
没有钱,2,2,0,2,0,0
家里,2,2,0,2,0,0
家庭,2,2,0,2,0,0
下来,2,2,0,2,0,0
遗传,2,2,2,0,0,2
不像,2,2,0,2,0,0
影响,2,2,1,1,0,1
开朗,2,2,0,2,0,0
应该,2,2,1,1,0,1
开,2,2,0,2,0,0
不太,2,2,0,2,0,0
不在,2,2,0,2,0,0
帮助,2,2,0,2,0,0
帮,2,2,1,1,0,1
道别,2,2,0,2,0,0
带着,2,2,0,2,0,0
深,2,2,0,2,0,0
不小心,2,2,0,2,0,0
逼,2,2,0,2,0,0
烦恼,2,2,1,1,0,1
不好意思,2,2,2,0,0,2
差,2,2,1,1,0,1
巨大,2,2,0,2,0,0
强,2,2,0,2,0,0
遗书,2,2,0,2,0,0
然而,2,2,0,2,0,0
实际上,2,2,0,2,0,0
理,2,2,0,2,0,0
还要,2,2,0,2,0,0
完全,2,2,1,1,0,1
专业,2,2,1,1,0,1
两个月,2,2,0,2,0,0
好吗,2,1,1,1,1,0
病了,2,2,1,1,0,1
痊愈,2,2,1,1,0,1
她说,2,2,0,2,0,0
这么多,2,2,0,2,0,0
她们,2,2,0,2,0,0
怀里,2,2,2,0,0,2
直到,2,2,1,1,0,1
这个时候,2,1,2,0,1,1
长大,2,2,0,2,0,0
头,2,2,0,2,0,0
门,2,2,0,2,0,0
失望,2,2,0,2,0,0
所以,2,2,0,2,0,0
一次,2,2,0,2,0,0
为人,2,2,2,0,0,2
看起来,2,2,0,2,0,0
男生,2,2,2,0,0,2
