Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
热搜,2,0,2,0,2,0
烧炭,2,1,0,1,0,0
灵魂,2,2,0,2,0,0
活下来,2,2,0,2,0,0
治愈,2,2,0,2,0,0
没有用,2,2,0,2,0,0
没有人知道,2,2,0,2,0,0
没了,2,2,1,1,0,1
是因为,2,1,1,1,1,0
比,2,2,1,1,0,1
每次,2,1,1,1,1,0
正常,2,2,0,2,0,0
来说,2,1,0,1,0,0
来看,2,1,1,0,0,1
来了,2,2,0,2,0,0
期待,2,2,0,2,0,0
有钱,2,2,0,2,0,0
有点,2,2,0,2,0,0
有时,2,2,0,2,0,0
最好,2,1,0,1,0,0
更新,2,0,2,0,2,0
更,2,2,0,2,0,0
晚上,2,2,0,2,0,0
梦,2,2,0,2,0,0
才,2,2,0,2,0,0
些,2,2,0,2,0,0
quot,2,2,0,2,0,0
受不了,2,2,0,2,0,0
么,2,1,1,1,1,0
之前,2,2,1,1,0,1
之后,2,2,1,1,0,1
?,2,2,2,0,0,2
以为,2,2,0,2,0,0
乔任梁,2,1,1,1,1,0
他人,2,2,0,2,0,0
上天,2,2,0,2,0,0
只要,2,2,0,2,0,0
一次又一次,2,1,1,1,1,0
可悲,2,2,0,2,0,0
乖,2,2,0,2,0,0
受,2,2,0,2,0,0
is,2,2,2,0,0,2
不要放弃,2,2,0,2,0,0
id,2,1,1,1,1,0
值得,2,2,0,2,0,0
刚,2,2,0,2,0,0
可笑,2,0,2,0,2,0
下午,2,2,0,2,0,0
做不到,2,2,0,2,0,0
不行,2,2,0,2,0,0
做人,2,2,0,2,0,0
也是,2,1,1,1,1,0
and,2,1,1,0,0,1
久,2,1,1,1,1,0
不见了,2,0,2,0,2,0
什么时候,2,2,0,2,0,0
一场,2,2,0,2,0,0
伤心,2,2,0,2,0,0
加油,2,2,0,2,0,0
你好,2,2,1,1,0,1
医院,2,1,0,1,0,0
一群,2,2,0,2,0,0
办法,2,1,0,1,0,0
关于,2,2,0,2,0,0
一张,2,2,0,2,0,0
一起,2,2,0,2,0,0
一天,2,2,0,2,0,0
不需要,2,2,0,2,0,0
即使,2,2,0,2,0,0
不配,2,2,0,2,0,0
们,2,2,1,1,0,1
厌烦,2,1,0,1,0,0
去世,2,2,0,2,0,0
不适合,2,2,0,2,0,0
会不会,2,2,0,2,0,0
去找,2,2,0,2,0,0
不许,2,2,0,2,0,0
一件,2,2,0,2,0,0
为何,2,2,1,1,0,1
发生,2,2,0,2,0,0
一下,2,1,1,1,1,0
删,2,1,1,1,1,0
任何,2,2,0,2,0,0
Ctrl,2,0,0,0,0,0
下,2,2,0,2,0,0
决定,2,2,0,2,0,0
交,2,2,0,2,0,0
30岁,2,1,1,1,1,0
准备,2,1,1,1,1,0
27,2,1,0,1,0,0
不管,2,2,1,1,0,1
内心,2,2,0,2,0,0
不知,2,2,0,2,0,0
享受,2,2,0,2,0,0
不然,2,2,0,2,0,0
不幸,2,2,0,2,0,0
养,2,2,0,2,0,0
再见,2,2,1,1,0,1
入睡,2,2,0,2,0,0
;,2,2,0,2,0,0
人际关系,2,2,0,2,0,0
不管是,2,1,1,1,1,0
事情,2,2,0,2,0,0
停不下来,2,2,0,2,0,0
瞎出主意,1,1,0,1,0,0
睡着,1,1,0,1,0,0
睡前,1,1,0,1,0,0
瞬间,1,0,1,0,1,0
知不知道,1,1,0,1,0,0
睡不着,1,1,0,1,0,0
知乎,1,1,0,1,0,0
知无不言,1,1,0,1,0,0
细,1,1,0,1,0,0
知道吗,1,1,0,1,0,0
不才,1,1,0,1,0,0
耻笑,1,1,0,1,0,0
不敢想,1,1,0,1,0,0
睡,1,1,0,1,0,0
不过,1,1,0,1,0,0
短暂,1,1,0,1,0,0
不明所以,1,1,0,1,0,0
而出,1,1,0,1,0,0
石沉大海,1,1,0,1,0,0
砍掉,1,1,0,1,0,0
研究,1,0,1,0,1,0
考虑,1,1,0,1,0,0
破损,1,1,0,1,0,0
破碎,1,1,0,1,0,0
睡一觉,1,1,1,0,0,1
眼睁睁,1,1,0,1,0,0
着想,1,1,0,1,0,0
肯定,1,1,0,1,0,0
两个,1,1,0,1,0,0
两三年,1,1,0,1,0,0
看重,1,1,0,1,0,0
东西,1,1,0,1,0,0
真實,1,1,0,1,0,0
真心,1,1,0,1,0,0
真想,1,1,0,1,0,0
世上,1,1,0,1,0,0
且,1,1,0,1,0,0
脑,1,0,0,0,0,0
能带,1,0,1,0,1,0
专业,1,1,0,1,0,0
不高兴,1,1,0,1,0,0
不想当,1,1,0,1,0,0
能吃,1,1,0,1,0,0
不想说,1,1,0,1,0,0
真的有,1,1,0,1,0,0
真累,1,1,0,1,0,0
眼,1,0,0,0,0,0
背景音乐,1,1,0,1,0,0
眼中,1,1,0,1,0,0
眼光,1,1,0,1,0,0
眼前,1,1,0,1,0,0
不懂事,1,1,0,1,0,0
眼熟,1,0,1,0,1,0
眼眶,1,1,0,1,0,0
不甘心,1,1,0,1,0,0
背后,1,1,0,1,0,0
不重要,1,1,0,1,0,0
考上,1,1,0,1,0,0
碎碎,1,1,0,1,0,0
砸下去,1,1,0,1,0,0
结束,1,1,0,1,0,0
穿,1,1,0,1,0,0
绳子,1,1,0,1,0,0
突然间,1,1,0,1,0,0
不算什么,1,1,0,1,0,0
绝望,1,1,0,1,0,0
窒息,1,1,0,1,0,0
立马,1,1,0,1,0,0
站,1,1,0,1,0,0
绝对,1,1,0,1,0,0
不要想,1,1,0,1,0,0
笑容,1,1,0,1,0,0
笑死,1,0,0,0,0,0
笑着,1,1,0,1,0,0
结果,1,1,0,1,0,0
笨,1,1,0,1,0,0
硬是,1,1,0,1,0,0
第,1,1,0,1,0,0
第一次,1,1,0,1,0,0
第二天,1,0,1,0,1,0
第几回,1,1,0,1,0,0
不耐烦,1,1,0,1,0,0
经常,1,1,0,1,0,0
简历,1,1,0,1,0,0
算上,1,1,0,1,0,0
类,1,1,0,1,0,0
糟糕,1,1,0,1,0,0
系列,1,1,0,1,0,0
素不相识,1,1,0,1,0,0
紧张,1,0,1,0,1,0
累,1,1,1,0,0,1
维持,1,1,0,1,0,0
绿光,1,1,0,1,0,0
缺点,1,0,0,0,0,0
网上,1,1,0,1,0,0
确实,1,1,0,1,0,0
碎,1,1,0,1,0,0
經常,1,1,0,1,0,0
老子,1,1,0,1,0,0
不见天日,1,1,0,1,0,0
碾,1,1,0,1,0,0
老,1,0,0,0,0,0
翻,1,1,0,1,0,0
群里,1,1,0,1,0,0
群,1,1,0,1,0,0
社交,1,1,0,1,0,0
不确定,1,1,0,1,0,0
罢,1,1,0,1,0,0
社会,1,1,0,1,0,0
祭日,1,0,1,0,1,0
禁止,1,0,1,0,1,0
离家出走,1,1,0,1,0,0
