Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
相信自己,1,1,0,1,0,0,100.0
相反,1,1,0,1,0,0,100.0
?,1,0,1,0,1,0,100.0
树,1,1,0,1,0,0,100.0
眼睛,1,1,0,1,0,0,100.0
眼角,1,0,1,0,1,0,100.0
睡,1,1,0,1,0,0,100.0
睡一觉,1,0,1,0,1,0,100.0
睡着,1,0,1,0,1,0,100.0
真的有,1,0,1,0,1,0,100.0
瞎指挥,1,1,0,1,0,0,100.0
栅栏,1,1,0,1,0,0,100.0
查重率,1,1,0,1,0,0,100.0
知识,1,1,0,1,0,0,100.0
三轮,1,1,0,1,0,0,100.0
重重,1,0,1,0,1,0,100.0
2月底,1,1,0,1,0,0,100.0
错了,1,0,1,0,1,0,100.0
下一世,1,0,1,0,1,0,100.0
键盘,1,0,1,0,1,0,100.0
不想,1,0,1,0,1,0,100.0
次数,1,1,0,1,0,0,100.0
电,1,0,1,0,1,0,100.0
电工,1,1,0,1,0,0,100.0
环节,1,1,0,1,0,0,100.0
黄昏,1,0,1,0,1,0,100.0
陈淞阳,1,0,1,0,1,0,100.0
麻辣藕,1,1,0,1,0,0,100.0
下班,1,1,0,1,0,0,100.0
阿泰,1,1,0,1,0,0,100.0
下济,1,0,1,0,1,0,100.0
树上,1,1,0,1,0,0,100.0
研一,1,1,0,1,0,0,100.0
重视,1,1,0,1,0,0,100.0
确实,1,1,0,1,0,0,100.0
鼓励,1,1,0,1,0,0,100.0
相识,1,0,1,0,1,0,100.0
省心,1,0,1,0,1,0,100.0
看   导师,1,1,0,1,0,0,100.0
看一下,1,0,1,0,1,0,100.0
看一眼,1,0,1,0,1,0,100.0
看不到,1,0,1,0,1,0,100.0
相处,1,1,0,1,0,0,100.0
直觉,1,0,1,0,1,0,100.0
钢琴系,1,1,0,1,0,0,100.0
三途,1,0,1,0,1,0,100.0
三生石,1,0,1,0,1,0,100.0
         该,1,0,1,0,1,0,100.0
研二,1,0,1,0,1,0,100.0
查,1,0,1,0,1,0,100.0
34.6万,1,0,1,0,1,0,100.0
36路,1,1,0,1,0,0,100.0
某天,1,0,1,0,1,0,100.0
重新,1,0,1,0,1,0,100.0
重复性,1,1,0,1,0,0,100.0
研究生们,1,1,0,1,0,0,100.0
研究生导师,1,1,0,1,0,0,100.0
研究生阶段,1,0,1,0,1,0,100.0
?,1,1,0,1,0,0,100.0
某地,1,0,1,0,1,0,100.0
三个,1,1,0,1,0,0,100.0
硕士博士,1,1,0,1,0,0,100.0
流,1,0,1,0,1,0,100.0
高发季节,1,1,0,1,0,0,100.0
烟火味,1,0,1,0,1,0,100.0
此生,1,0,1,0,1,0,100.0
满,1,1,0,1,0,0,100.0
不同意,1,1,0,1,0,0,100.0
不如,1,1,0,1,0,0,100.0
熟,1,0,1,0,1,0,100.0
不到,1,1,0,1,0,0,100.0
特别可爱,1,0,1,0,1,0,100.0
特别好,1,0,1,0,1,0,100.0
不断地,1,0,1,0,1,0,100.0
特别小,1,0,1,0,1,0,100.0
不是事,1,0,1,0,1,0,100.0
高高在上,1,1,0,1,0,0,100.0
步骤,1,1,0,1,0,0,100.0
物理化学,1,0,1,0,1,0,100.0
此时,1,0,1,0,1,0,100.0
不多,1,0,1,0,1,0,100.0
魔鬼,1,0,1,0,1,0,100.0
随和,1,1,0,1,0,0,100.0
独一无二,1,0,1,0,1,0,100.0
陪伴,1,0,1,0,1,0,100.0
不光,1,1,0,1,0,0,100.0
水里,1,0,1,0,1,0,100.0
特殊,1,1,0,1,0,0,100.0
物理,1,1,0,1,0,0,100.0
爸爸妈妈,1,0,1,0,1,0,100.0
爸爸,1,1,0,1,0,0,100.0
熟悉,1,0,1,0,1,0,100.0
需要用,1,1,0,1,0,0,100.0
熬下去,1,0,1,0,1,0,100.0
溜进,1,0,1,0,1,0,100.0
渴了,1,1,0,1,0,0,100.0
活该,1,1,0,1,0,0,100.0
满是,1,0,1,0,1,0,100.0
不断,1,1,0,1,0,0,100.0
烤,1,0,1,0,1,0,100.0
非凡,1,0,1,0,1,0,100.0
热搜,1,1,0,1,0,0,100.0
母猫,1,0,1,0,1,0,100.0
发出去,1,1,0,1,0,0,100.0
不吭声,1,0,1,0,1,0,100.0
母亲,1,0,1,0,1,0,100.0
青春,1,1,0,1,0,0,100.0
照,1,0,1,0,1,0,100.0
12小时,1,1,0,1,0,0,100.0
每一个人,1,1,0,1,0,0,100.0
火锅店,1,1,0,1,0,0,100.0
涓滴,1,1,0,1,0,0,100.0
港湾,1,1,0,1,0,0,100.0
淡然流,1,0,1,0,1,0,100.0
深,1,1,0,1,0,0,100.0
深夜里,1,0,1,0,1,0,100.0
深深,1,0,1,0,1,0,100.0
每一只,1,0,1,0,1,0,100.0
混,1,1,0,1,0,0,100.0
清晨,1,0,1,0,1,0,100.0
面孔,1,0,1,0,1,0,100.0
渐渐,1,1,0,1,0,0,100.0
不好听,1,0,1,0,1,0,100.0
面前,1,1,0,1,0,0,100.0
不够,1,1,0,1,0,0,100.0
   时光,1,1,0,1,0,0,100.0
熬住,1,0,1,0,1,0,100.0
12月份,1,1,0,1,0,0,100.0
熬夜,1,1,0,1,0,0,100.0
汇成,1,1,0,1,0,0,100.0
风景,1,0,1,0,1,0,100.0
高中,1,1,0,1,0,0,100.0
飞出,1,0,1,0,1,0,100.0
没什么大不了,1,1,0,1,0,0,100.0
不幸福,1,1,0,1,0,0,100.0
不开心,1,0,1,0,1,0,100.0
不怕,1,0,1,0,1,0,100.0
氛围,1,0,1,0,1,0,100.0
骗人,1,0,1,0,1,0,100.0
求学,1,1,0,1,0,0,100.0
求救,1,0,1,0,1,0,100.0
求真问道,1,1,0,1,0,0,100.0
气,1,0,1,0,1,0,100.0
',1,1,0,1,0,0,100.0
熬死,1,1,0,1,0,0,100.0
江小白,1,0,1,0,1,0,100.0
汤,1,0,1,0,1,0,100.0
毛茸茸,1,1,0,1,0,0,100.0
骂,1,1,0,1,0,0,100.0
驱魔,1,0,1,0,1,0,100.0
高学历,1,1,0,1,0,0,100.0
没来过,1,0,1,0,1,0,100.0
没看到,1,0,1,0,1,0,100.0
每当,1,1,0,1,0,0,100.0
活成,1,0,1,0,1,0,100.0
活泼,1,0,1,0,1,0,100.0
),1,0,1,0,1,0,100.0
  永远,1,0,1,0,1,0,100.0
毕业更,1,1,0,1,0,0,100.0
没有必要,1,0,1,0,1,0,100.0
没有前途,1,0,1,0,1,0,100.0
不少,1,0,1,0,1,0,100.0
零食,1,0,1,0,1,0,100.0
死神,1,1,0,1,0,0,100.0
雪景,1,0,1,0,1,0,100.0
雏,1,0,1,0,1,0,100.0
难题,1,1,0,1,0,0,100.0
13号凌晨,1,0,1,0,1,0,100.0
死气沉沉,1,1,0,1,0,0,100.0
爱上,1,0,1,0,1,0,100.0
死撑,1,0,1,0,1,0,100.0
140字,1,1,0,1,0,0,100.0
爱着,1,0,1,0,1,0,100.0
难以,1,1,0,1,0,0,100.0
青年,1,0,1,0,1,0,100.0
180,1,0,1,0,1,0,100.0
涅槃重生,1,0,1,0,1,0,100.0
马上,1,0,1,0,1,0,100.0
香,1,1,0,1,0,0,100.0
没想到,1,0,1,0,1,0,100.0
毛洪涛,1,1,0,1,0,0,100.0
饮料,1,0,1,0,1,0,100.0
没日没夜,1,0,1,0,1,0,100.0
不幸,1,0,1,0,1,0,100.0
没有一个人,1,0,1,0,1,0,100.0
食堂,1,0,1,0,1,0,100.0
高个子,1,0,1,0,1,0,100.0
不干,1,0,1,0,1,0,100.0
飘荡,1,0,1,0,1,0,100.0
神,1,0,1,0,1,0,100.0
酸楚,1,0,1,0,1,0,100.0
去世,1,0,1,0,1,0,100.0
姑娘,1,0,1,0,1,0,100.0
付得起,1,0,1,0,1,0,100.0
好人,1,0,1,0,1,0,100.0
付之东流,1,1,0,1,0,0,100.0
好可爱,1,0,1,0,1,0,100.0
好吗,1,0,1,0,1,0,100.0
他自己,1,0,1,0,1,0,100.0
好好过,1,0,1,0,1,0,100.0
好看,1,0,1,0,1,0,100.0
好运,1,0,1,0,1,0,100.0
从来,1,1,0,1,0,0,100.0
妈咪,1,0,1,0,1,0,100.0
介绍,1,0,1,0,1,0,100.0
始终,1,1,0,1,0,0,100.0
娱乐,1,0,1,0,1,0,100.0
哭晕,1,0,1,0,1,0,100.0
婚纱照,1,1,0,1,0,0,100.0
嫌弃,1,0,1,0,1,0,100.0
