Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
你好,5,2,2,2,2,0
宝贝,5,0,5,0,5,0
家人,5,1,2,1,2,0
住,5,1,4,0,3,1
尊重,5,4,1,4,1,0
小姐姐,5,4,2,3,1,1
难,5,5,0,5,0,0
们,5,4,0,4,0,0
受罪,5,3,2,3,2,0
认识,5,2,2,2,2,0
等,5,2,3,2,3,0
正常,5,3,0,3,0,0
乙,5,1,4,1,4,0
是不是,5,3,2,3,2,0
日子,5,5,2,3,0,2
有人,5,2,2,1,1,1
么,5,5,3,2,0,3
且,5,4,1,4,1,0
男,5,4,0,4,0,0
活下来,5,2,3,1,2,1
救,5,2,3,1,2,1
现实,5,4,2,3,1,1
未婚女人,5,0,0,0,0,0
挣扎,5,4,3,2,1,2
看见,5,5,1,4,0,1
昨天,5,3,3,2,2,1
控制,5,3,2,2,1,1
热爱,5,4,2,3,1,1
不好,5,3,2,2,1,1
相信,5,3,1,3,1,0
断绝关系,5,3,1,3,1,0
指责,5,4,0,4,0,0
不过,5,3,3,2,2,1
来说,5,2,2,2,2,0
来生,5,2,4,1,3,1
砸,5,2,4,1,3,1
特别,4,4,1,3,0,1
生子,4,4,0,4,0,0
女,4,4,2,2,0,2
太多,4,2,1,2,1,0
日本,4,2,2,2,2,0
个人,4,3,1,3,1,0
一位,4,2,2,2,2,0
好的,4,2,1,2,1,0
严重,4,2,2,2,2,0
社会,4,4,1,3,0,1
日,4,1,3,1,3,0
安慰,4,2,3,1,2,1
逝者,4,2,1,2,1,0
害死,4,3,1,3,1,0
家,4,1,1,1,1,0
辞职,4,4,0,4,0,0
报,4,1,1,0,0,1
留言,4,1,2,1,2,0
对象,4,3,1,3,1,0
走出来,4,4,1,3,0,1
直接,4,2,0,2,0,0
就像,4,2,2,2,2,0
就这样,4,4,0,4,0,0
评论区,4,3,1,3,1,0
带,4,3,1,3,1,0
害怕,4,3,1,3,1,0
回头,4,1,4,0,3,1
逼,4,4,0,4,0,0
只会,4,3,1,3,1,0
另一个,4,2,2,2,2,0
养,4,2,1,2,1,0
发生,4,3,4,0,1,3
面对,4,2,1,2,1,0
发,4,3,2,2,1,1
反抗,4,2,1,2,1,0
原生家庭,4,2,3,1,2,1
原因,4,4,2,2,0,2
压力,4,4,0,4,0,0
即使,4,4,1,3,0,1
每一个,4,3,1,3,1,0
高中,4,4,1,3,0,1
杀,4,4,1,3,0,1
到底,4,2,2,2,2,0
出去,4,3,1,2,0,1
非要,4,3,1,3,1,0
需要,4,3,0,3,0,0
做出,4,3,1,3,1,0
有没有,4,1,2,0,1,1
更多,4,3,3,1,1,2
遗书,4,3,1,2,0,1
任,4,2,3,1,2,1
回去,4,2,3,1,2,1
那些,4,2,1,2,1,0
唉,4,1,3,1,3,0
那种,4,3,2,2,1,1
哪怕,4,3,1,3,1,0
有一天,4,3,2,2,1,1
听到,4,4,1,3,0,1
都会,4,2,2,2,2,0
里面,4,3,3,0,0,3
可怜,4,4,0,4,0,0
可以是,4,0,1,0,1,0
重要,4,3,1,3,1,0
帮,4,2,1,2,1,0
一天,4,3,2,2,1,1
一辈子,4,3,3,1,1,2
类似,4,4,1,3,0,1
所有人,4,4,1,3,0,1
感受到,4,2,2,2,2,0
摆脱,4,2,1,2,1,0
眼里,4,3,3,1,1,2
我爸,4,4,0,4,0,0
怕,4,3,1,3,1,0
很累,4,4,0,4,0,0
翻,4,4,0,4,0,0
得到,4,4,2,2,0,2
成,4,3,0,3,0,0
懂,4,1,2,1,2,0
自在,4,1,3,1,3,0
心情,4,4,0,4,0,0
心里,4,3,2,2,1,1
美好,4,2,3,1,2,1
见,4,2,2,2,2,0
亲戚,4,4,0,4,0,0
真实,4,2,0,2,0,0
离家出走,4,2,1,2,1,0
并,4,2,3,1,2,1
才能,4,3,1,3,1,0
而已,4,3,1,2,0,1
幸福,4,2,3,1,2,1
根本,4,4,0,4,0,0
想你,4,1,4,0,3,1
想法,4,4,0,4,0,0
联系,4,1,0,1,0,0
整个,4,4,0,4,0,0
折磨,4,2,3,1,2,1
年龄,4,2,1,2,1,0
人间,4,1,3,1,3,0
想着,3,3,0,3,0,0
真心,3,3,0,3,0,0
醒来,3,2,1,2,1,0
烧,3,3,1,2,0,1
后来,3,2,0,2,0,0
回,3,2,2,1,1,1
吃,3,3,0,3,0,0
那边,3,1,1,0,0,1
想过,3,2,1,2,1,0
想起,3,3,0,3,0,0
吵架,3,3,0,3,0,0
呆,3,3,2,1,0,2
有些,3,2,0,2,0,0
唯一,3,3,0,3,0,0
哈哈,3,1,3,0,2,1
而且,3,2,1,1,0,1
干嘛,3,2,1,1,0,1
挺,3,2,2,1,1,1
顺着,3,2,1,2,1,0
祝福,3,3,2,1,0,2
?,3,1,1,1,1,0
鼓励,3,3,0,3,0,0
拥有,3,1,2,1,2,0
麻烦,3,0,1,0,1,0
鬼,3,3,1,2,0,1
答案,3,3,0,3,0,0
算,3,3,0,3,0,0
死亡,3,2,1,2,1,0
才会,3,3,0,3,0,0
管,3,2,0,2,0,0
睡,3,2,0,2,0,0
陌生人,3,3,1,2,0,1
按,3,1,1,1,1,0
所,3,3,0,3,0,0
或许,3,2,2,1,1,1
我家,3,2,1,2,1,0
经济,3,3,0,3,0,0
真累,3,3,0,3,0,0
非常,3,1,2,1,2,0
成年,3,3,0,3,0,0
成功,3,2,1,2,1,0
求求,3,0,2,0,2,0
回来了,3,2,0,2,0,0
曾经,3,3,3,0,0,3
道德,3,1,1,1,1,0
更新,3,1,1,1,1,0
足以,3,3,1,2,0,1
很多很多,3,1,2,1,2,0
完整,3,3,0,3,0,0
看客,3,3,0,3,0,0
实在,3,2,1,2,1,0
花,3,2,1,1,0,1
教,3,2,0,2,0,0
当做,3,3,0,3,0,0
几次,3,1,3,0,2,1
要是,3,1,2,0,1,1
开明,3,2,1,2,1,0
家长,3,2,1,2,1,0
容易,3,3,0,3,0,0
跳楼,3,1,1,1,1,0
对于,3,1,1,1,1,0
在于,3,0,0,0,0,0
敢,3,1,0,1,0,0
导火索,3,3,0,3,0,0
起,3,3,1,2,0,1
直到,3,2,1,2,1,0
小区,3,2,0,2,0,0
赚钱,3,2,1,2,1,0
赚,3,2,1,2,1,0
认为,3,1,1,1,1,0
文字,3,2,1,2,1,0
就算,3,2,1,2,1,0
幸运,3,2,2,1,1,1
说说,3,1,1,1,1,0
说什么,3,0,2,0,2,0
安好,3,1,3,0,2,1
辱骂,3,2,1,2,1,0
过来,3,3,0,3,0,0
自我,3,3,1,2,0,1
遗憾,3,2,1,2,1,0
肖战,3,1,1,1,1,0
地址,3,0,0,0,0,0
地方,3,1,2,1,2,0
城市,3,2,3,0,1,2
提供,3,0,1,0,1,0
多少,3,2,1,2,1,0
够,3,1,1,1,1,0
能力,3,3,0,3,0,0
真好,3,1,2,1,2,0
大学,3,2,1,2,1,0
天上,3,0,3,0,3,0
改变,3,1,3,0,2,1
晚安,3,2,2,1,1,1
失去,3,2,1,2,1,0
怎样,3,2,1,2,1,0
