Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
好久,3,1,2,1,2,0
积极,3,2,2,0,0,2
安慰,3,2,2,1,1,1
竟然,3,1,2,1,2,0
好多,3,1,2,1,2,0
简单,3,1,3,0,2,1
糖,3,0,2,0,2,0
好起来,3,1,2,1,2,0
多少次,3,2,1,2,1,0
得到,3,1,2,1,2,0
多多,3,0,3,0,3,0
心,3,3,1,2,0,1
才会,3,2,1,2,1,0
脱离,3,0,3,0,3,0
点赞,3,1,2,1,2,0
能够,3,0,3,0,3,0
能不能,3,0,1,0,1,0
精灵,3,0,3,0,3,0
照亮,3,2,2,1,1,1
感同身受,3,2,1,2,1,0
图片评论,3,0,0,0,0,0
感受到,3,1,2,1,2,0
爱着,3,0,3,0,3,0
在一起,3,1,2,1,2,0
想要,3,2,2,1,1,1
想法,3,2,0,2,0,0
爸爸,3,2,1,2,1,0
想到,3,0,3,0,3,0
王子,3,1,2,1,2,0
思想,3,3,0,3,0,0
考上,3,2,1,2,1,0
怎么,3,1,1,1,1,0
快回来吧,3,0,3,0,3,0
老师,3,0,3,0,3,0
老,3,3,0,3,0,0
多久,3,1,2,1,2,0
生日快乐,3,0,3,0,3,0
背负,3,0,3,0,3,0
坚强,3,2,1,2,1,0
不敢,3,3,2,1,0,2
公安,3,0,1,0,1,0
世间,3,1,3,0,2,1
遭遇,3,1,3,0,2,1
不够,3,2,1,2,1,0
冰冷,3,0,3,0,3,0
不再,3,0,3,0,3,0
鹿先生,3,0,3,0,3,0
25岁,3,1,2,1,2,0
也不是,3,2,1,2,1,0
长大,3,2,1,2,1,0
逃离,3,2,2,1,1,1
送给,3,0,3,0,3,0
内容,3,2,0,2,0,0
问题,3,1,1,1,1,0
阿森,3,0,3,0,3,0
进,3,1,3,0,2,1
那些,3,0,3,0,3,0
这里,3,0,3,0,3,0
一辈子,3,1,2,1,2,0
光,3,3,2,1,0,2
一起去,3,0,3,0,3,0
充满,3,0,3,0,3,0
人们,3,0,0,0,0,0
这么多,3,2,1,2,1,0
需要,3,2,0,2,0,0
傻,3,0,3,0,3,0
风,3,0,3,0,3,0
一朵,3,0,3,0,3,0
会不会,3,0,3,0,3,0
做傻事,3,0,2,0,2,0
一场,3,1,3,0,2,1
鼓励,3,1,2,1,2,0
信,3,1,2,1,2,0
11.28,3,0,2,0,2,0
不过,3,1,2,1,2,0
世上,3,1,2,1,2,0
不管,3,2,1,2,1,0
走向,3,1,2,1,2,0
配不上,3,0,3,0,3,0
出,3,0,3,0,3,0
那种,3,2,1,2,1,0
这段话,2,2,2,0,0,2
难受,2,1,1,1,1,0
这辈子,2,0,1,0,1,0
这句话,2,1,1,1,1,0
什么时候,2,1,1,1,1,0
清醒,2,1,2,0,1,1
抑郁症,2,1,1,1,1,0
好多人,2,0,2,0,2,0
投,2,0,2,0,2,0
投胎,2,2,0,2,0,0
安心,2,2,0,2,0,0
仍然,2,1,1,1,1,0
快回来,2,0,2,0,2,0
抛弃,2,0,2,0,2,0
报,2,0,2,0,2,0
交,2,1,1,1,1,0
这个人,2,1,1,1,1,0
一生,2,1,1,0,0,1
抱抱,2,0,2,0,2,0
手,2,1,2,0,1,1
心态,2,2,1,1,0,1
雪,2,1,2,0,1,1
雨,2,1,1,1,1,0
找不到,2,0,0,0,0,0
扩散,2,0,0,0,0,0
很难,2,0,2,0,2,0
学生,2,0,2,0,2,0
不负,2,0,2,0,2,0
打,2,0,2,0,2,0
亲戚家,2,2,0,2,0,0
亲爱的,2,0,2,0,2,0
童年,2,2,1,1,0,1
怎么办,2,1,1,1,1,0
第一次,2,0,1,0,1,0
安好,2,1,2,0,1,1
不要让,2,0,2,0,2,0
这样的,2,0,2,0,2,0
人世,2,1,2,0,1,1
等着,2,0,2,0,2,0
快点,2,0,2,0,2,0
等等,2,0,2,0,2,0
他人,2,1,2,0,1,1
人命关天,2,0,0,0,0,0
如何,2,1,1,1,1,0
深渊,2,1,0,1,0,0
红,2,1,1,1,1,0
流浪猫,2,0,2,0,2,0
多少,2,2,0,2,0,0
一定可以,2,0,2,0,2,0
美食,2,1,1,1,1,0
多么,2,1,1,1,1,0
体会,2,2,1,1,0,1
浪漫,2,1,2,0,1,1
浙江,2,0,1,0,1,0
羡慕,2,0,2,0,2,0
翻,2,0,2,0,2,0
声音,2,0,2,0,2,0
还小,2,0,2,0,2,0
一处,2,0,2,0,2,0
城市,2,0,0,0,0,0
城堡,2,0,2,0,2,0
你们俩,2,0,2,0,2,0
甚至,2,1,1,1,1,0
依然,2,0,1,0,1,0
活下来,2,0,2,0,2,0
一名,2,0,2,0,2,0
洲洲,2,0,2,0,2,0
还好吗,2,0,2,0,2,0
大,2,0,2,0,2,0
穷人,2,2,2,0,0,2
靠,2,1,0,1,0,0
拉住,2,0,1,0,1,0
一步,2,2,0,2,0,0
淡漠,2,2,2,0,0,2
经历,2,0,2,0,2,0
头,2,0,2,0,2,0
经常,2,1,1,1,1,0
失去,2,2,2,0,0,2
那里,2,1,1,1,1,0
以为,2,2,1,1,0,1
给予,2,1,0,1,0,0
一定能,2,0,2,0,2,0
太多,2,1,2,0,1,1
太冷,2,0,2,0,2,0
还能,2,0,2,0,2,0
优先,2,0,0,0,0,0
挣扎,2,0,2,0,2,0
传达,2,0,1,0,1,0
大学,2,2,0,2,0,0
海南,2,0,2,0,2,0
罪,2,0,2,0,2,0
完全,2,1,1,1,1,0
漂亮,2,0,2,0,2,0
些,2,0,1,0,1,0
岁,2,0,2,0,2,0
不准,2,0,2,0,2,0
相遇,2,0,2,0,2,0
爷爷奶奶,2,1,1,1,1,0
玩儿,2,0,2,0,2,0
为了,2,1,1,1,1,0
帮帮,2,0,0,0,0,0
帮助,2,0,1,0,1,0
为人,2,1,1,1,1,0
道别,2,0,2,0,2,0
意义,2,1,1,1,1,0
意外,2,1,0,1,0,0
意思,2,0,1,0,1,0
之前,2,0,2,0,2,0
很可爱,2,0,2,0,2,0
乐,2,0,2,0,2,0
错,2,0,2,0,2,0
看见,2,0,2,0,2,0
州州,2,0,2,0,2,0
不一样,2,0,2,0,2,0
也不,2,0,2,0,2,0
岛,2,0,0,0,0,0
平安无事,2,0,2,0,2,0
平平安安,2,1,2,0,1,1
平行,2,0,2,0,2,0
开,2,0,2,0,2,0
当时,2,1,1,1,1,0
不好,2,1,0,1,0,0
往,2,0,0,0,0,0
留守儿童,2,2,1,1,0,1
那么多,2,0,2,0,2,0
的人,2,1,1,1,1,0
犹豫,2,0,2,0,2,0
您,2,0,1,0,1,0
悬崖,2,0,0,0,0,0
两次,2,0,2,0,2,0
留,2,0,2,0,2,0
情况,2,0,0,0,0,0
情绪,2,1,1,1,1,0
留下来,2,0,2,0,2,0
重庆火锅,2,0,2,0,2,0
并,2,1,1,1,1,0
年轻人,2,1,1,1,1,0
年轻,2,0,1,0,1,0
不在,2,0,1,0,1,0
不同,2,0,2,0,2,0
性格,2,1,1,1,1,0
也好,2,0,2,0,2,0
留恋,2,0,2,0,2,0
感谢,2,0,0,0,0,0
烦透,2,2,0,2,0,0
很想,2,0,2,0,2,0
烤红薯,2,0,2,0,2,0
我自己,2,1,1,1,1,0
或,2,0,1,0,1,0
过去,2,0,2,0,2,0
神明,2,0,2,0,2,0
对不对,2,0,2,0,2,0
七,2,0,2,0,2,0
远离,2,0,2,0,2,0
离去,2,1,1,1,1,0
很爱,2,0,2,0,2,0
私信,2,0,1,0,1,0
所在,2,1,0,1,0,0
家人,2,0,2,0,2,0
家,2,2,0,2,0,0
互动,2,0,1,0,1,0
实现,2,1,1,1,1,0
怎么回事,2,0,0,0,0,0
这边,2,0,2,0,2,0
定时,2,1,1,0,0,1
事,2,1,1,1,1,0
成功,2,0,2,0,2,0
小孩,2,1,1,1,1,0
很大,2,0,2,0,2,0
局,2,0,1,0,1,0
长,2,0,2,0,2,0
重庆,2,0,2,0,2,0
真的有,2,1,1,1,1,0
愿意,2,1,1,1,1,0
也许,2,1,1,1,1,0
就要,2,0,2,0,2,0
就算,2,0,2,0,2,0
买,2,0,2,0,2,0
就会,2,1,1,1,1,0
确,2,0,2,0,2,0
长线,2,2,0,2,0,0
了       ,2,2,0,2,0,0
不应该,2,0,1,0,1,0
送,2,0,2,0,2,0
小路,2,0,0,0,0,0
那时,2,0,2,0,2,0
小房子,2,0,2,0,2,0
硝烟,2,0,2,0,2,0
小小,2,0,2,0,2,0
陪伴,2,0,2,0,2,0
带你,2,0,2,0,2,0
止不住,2,0,2,0,2,0
路,2,1,1,1,1,0
死,2,1,1,1,1,0
高彦,2,0,2,0,2,0
只为了,2,2,0,2,0,0
明年,2,0,2,0,2,0
鲜活,2,0,1,0,1,0
星火,2,0,2,0,2,0
受到,2,0,2,0,2,0
受,2,2,0,2,0,0
@,2,0,2,0,2,0
关机,2,0,0,0,0,0
要是,2,0,2,0,2,0
星辰,2,0,2,0,2,0
养,2,2,0,2,0,0
春暖花开,2,0,2,0,2,0
再来,2,1,1,1,1,0
27号,2,0,0,0,0,0
去往,2,0,2,0,2,0
森林,2,0,0,0,0,0
晚上,2,0,1,0,1,0
25年,2,1,1,1,1,0
警察,2,0,1,0,1,0
马上,2,0,2,0,2,0
只能,2,1,1,1,1,0
听到,2,1,1,1,1,0
早就,2,0,1,0,1,0
后悔,2,0,2,0,2,0
先,2,1,1,1,1,0
